iter	Passed	Remaining
0	1	1436
1	3	1942
2	6	2102
3	9	2317
4	10	2129
5	12	2025
6	14	2119
7	17	2202
8	19	2112
9	22	2180
10	24	2195
11	26	2145
12	28	2167
13	30	2179
14	33	2199
15	36	2244
16	39	2261
17	41	2260
18	43	2257
19	46	2262
20	47	2225
21	49	2187
22	52	2214
23	53	2178
24	56	2196
25	58	2183
26	61	2201
27	62	2161
28	65	2195
29	67	2168
30	68	2154
31	70	2140
32	73	2144
33	75	2147
34	77	2145
35	80	2145
36	81	2124
37	83	2121
38	86	2119
39	88	2119
40	90	2116
41	92	2114
42	95	2130
43	97	2127
44	100	2125
45	101	2109
46	102	2083
47	104	2082
48	106	2071
49	109	2080
50	111	2072
51	113	2071
52	115	2062
53	117	2064
54	119	2056
55	121	2054
56	124	2061
57	127	2064
58	129	2062
59	131	2061
60	133	2057
61	134	2039
62	137	2038
63	140	2050
64	142	2050
65	144	2037
66	147	2055
67	170	2331
68	175	2366
69	179	2388
70	184	2412
71	192	2480
72	200	2541
73	208	2607
74	212	2626
75	215	2618
76	223	2680
77	230	2720
78	257	3007
79	264	3036
80	267	3034
81	269	3014
82	271	2995
83	273	2977
84	275	2965
85	278	2955
86	283	2973
87	286	2974
88	291	2979
89	293	2968
90	296	2966
91	301	2971
92	303	2958
93	306	2951
94	307	2934
95	309	2915
96	311	2899
97	314	2896
98	317	2887
99	319	2877
100	321	2866
101	324	2857
102	326	2841
103	328	2827
104	330	2820
105	333	2809
106	335	2800
107	338	2793
108	340	2784
109	345	2798
110	348	2794
111	351	2785
112	354	2779
113	356	2768
114	358	2762
115	361	2752
116	363	2742
117	365	2729
118	367	2721
119	369	2712
120	371	2700
121	374	2698
122	377	2689
123	379	2679
124	381	2673
125	384	2664
126	385	2652
127	388	2644
128	390	2639
129	392	2624
130	393	2610
131	396	2606
132	398	2595
133	400	2587
134	402	2579
135	405	2578
136	408	2570
137	410	2563
138	412	2556
139	415	2549
140	416	2539
141	419	2533
142	421	2525
143	423	2517
144	425	2510
145	427	2500
146	429	2493
147	431	2486
148	433	2477
149	436	2474
150	438	2464
151	439	2453
152	442	2447
153	443	2437
154	445	2430
155	448	2424
156	451	2422
157	453	2414
158	455	2407
159	456	2398
160	459	2393
161	461	2387
162	462	2377
163	465	2374
164	468	2369
165	470	2362
166	471	2354
167	474	2348
168	475	2340
169	478	2334
170	481	2332
171	483	2325
172	485	2320
173	487	2313
174	489	2307
175	491	2302
176	494	2297
177	497	2296
178	498	2286
179	500	2281
180	502	2275
181	505	2270
182	507	2264
183	509	2259
184	512	2258
185	514	2251
186	516	2246
187	518	2241
188	521	2235
189	522	2228
190	525	2224
191	529	2227
192	532	2224
193	535	2225
194	537	2220
195	539	2213
196	542	2212
197	545	2207
198	546	2201
199	549	2196
200	551	2192
201	553	2187
202	556	2184
203	559	2181
204	560	2174
205	562	2169
206	565	2164
207	567	2160
208	569	2154
209	571	2149
210	573	2146
211	576	2141
212	577	2135
213	580	2130
214	582	2125
215	584	2121
216	588	2121
217	589	2114
218	591	2109
219	593	2104
220	595	2100
221	598	2096
222	600	2091
223	603	2090
224	605	2086
225	607	2081
226	610	2077
227	611	2071
228	614	2067
229	615	2061
230	618	2060
231	621	2055
232	623	2051
233	625	2047
234	627	2043
235	629	2039
236	632	2037
237	635	2033
238	637	2029
239	639	2025
240	641	2021
241	643	2016
242	646	2012
243	649	2010
244	651	2006
245	653	2003
246	655	1999
247	658	1995
248	660	1991
249	663	1989
250	665	1986
251	667	1982
252	670	1979
253	672	1975
254	674	1971
255	676	1967
256	680	1966
257	681	1961
258	683	1956
259	685	1952
260	688	1948
261	690	1945
262	692	1941
263	695	1939
264	697	1935
265	699	1930
266	701	1926
267	703	1922
268	705	1918
269	708	1914
270	711	1913
271	714	1912
272	717	1911
273	721	1910
274	724	1910
275	727	1908
276	730	1906
277	732	1902
278	734	1898
279	736	1895
280	739	1890
281	741	1889
282	744	1885
283	746	1881
284	748	1877
285	750	1874
286	752	1869
287	755	1867
288	757	1863
289	759	1859
290	761	1855
291	763	1852
292	766	1848
293	768	1845
294	771	1844
295	773	1840
296	775	1836
297	777	1832
298	780	1829
299	782	1825
300	783	1820
301	787	1818
302	789	1815
303	791	1811
304	793	1808
305	795	1804
306	797	1800
307	799	1796
308	802	1795
309	805	1791
310	807	1788
311	808	1783
312	811	1780
313	813	1776
314	816	1775
315	818	1772
316	821	1769
317	823	1765
318	825	1762
319	827	1758
320	830	1756
321	833	1755
322	836	1752
323	838	1749
324	840	1746
325	843	1743
326	845	1741
327	848	1738
328	850	1735
329	852	1731
330	855	1728
331	857	1724
332	859	1721
333	862	1720
334	864	1716
335	866	1712
336	868	1709
337	871	1706
338	873	1702
339	875	1699
340	878	1697
341	880	1694
342	882	1690
343	884	1687
344	886	1683
345	889	1680
346	891	1678
347	894	1675
348	896	1672
349	898	1669
350	900	1665
351	903	1663
352	908	1665
353	911	1663
354	914	1662
355	917	1660
356	920	1658
357	923	1656
358	927	1655
359	929	1652
360	932	1650
361	934	1647
362	937	1644
363	940	1642
364	942	1639
365	945	1637
366	947	1634
367	949	1630
368	951	1627
369	954	1626
370	957	1623
371	959	1619
372	961	1616
373	963	1613
374	965	1609
375	968	1607
376	970	1604
377	972	1600
378	975	1597
379	976	1593
380	979	1590
381	981	1587
382	984	1585
383	986	1582
384	988	1579
385	991	1576
386	993	1573
387	995	1569
388	997	1566
389	1000	1565
390	1003	1562
391	1005	1559
392	1007	1555
393	1009	1552
394	1010	1548
395	1013	1545
396	1015	1543
397	1018	1540
398	1020	1537
399	1023	1534
400	1024	1530
401	1027	1528
402	1029	1524
403	1032	1522
404	1034	1519
405	1036	1516
406	1038	1512
407	1040	1509
408	1042	1506
409	1044	1503
410	1046	1500
411	1048	1496
412	1050	1493
413	1053	1490
414	1054	1487
415	1057	1484
416	1059	1481
417	1061	1478
418	1063	1474
419	1065	1471
420	1066	1467
421	1069	1464
422	1071	1461
423	1073	1458
424	1076	1455
425	1077	1452
426	1079	1449
427	1081	1445
428	1083	1442
429	1085	1438
430	1087	1435
431	1089	1432
432	1092	1429
433	1093	1426
434	1095	1422
435	1097	1419
436	1098	1415
437	1101	1413
438	1106	1413
439	1110	1412
440	1112	1410
441	1115	1407
442	1117	1404
443	1119	1402
444	1122	1399
445	1123	1395
446	1125	1392
447	1127	1389
448	1129	1386
449	1131	1383
450	1133	1379
451	1136	1377
452	1138	1374
453	1139	1370
454	1141	1367
455	1143	1363
456	1144	1360
457	1146	1357
458	1148	1353
459	1151	1351
460	1153	1348
461	1154	1344
462	1156	1341
463	1158	1338
464	1160	1334
465	1162	1331
466	1164	1329
467	1167	1326
468	1168	1323
469	1170	1320
470	1172	1316
471	1174	1313
472	1175	1310
473	1177	1306
474	1179	1304
475	1182	1301
476	1183	1298
477	1185	1294
478	1187	1291
479	1189	1288
480	1191	1285
481	1192	1281
482	1194	1278
483	1196	1276
484	1198	1272
485	1200	1269
486	1202	1266
487	1203	1263
488	1205	1259
489	1207	1256
490	1209	1253
491	1211	1250
492	1213	1247
493	1215	1244
494	1216	1241
495	1218	1238
496	1220	1235
497	1222	1232
498	1224	1228
499	1226	1226
500	1228	1223
501	1230	1220
502	1232	1217
503	1233	1214
504	1235	1211
505	1237	1208
506	1239	1205
507	1241	1202
508	1243	1199
509	1245	1196
510	1247	1193
511	1249	1190
512	1250	1187
513	1252	1184
514	1254	1181
515	1257	1179
516	1258	1176
517	1260	1172
518	1262	1170
519	1264	1166
520	1266	1164
521	1267	1160
522	1269	1157
523	1272	1155
524	1274	1152
525	1275	1149
526	1277	1146
527	1279	1143
528	1280	1140
529	1282	1137
530	1284	1134
531	1287	1132
532	1290	1130
533	1292	1127
534	1294	1125
535	1297	1123
536	1302	1122
537	1304	1120
538	1306	1117
539	1308	1114
540	1310	1111
541	1312	1108
542	1313	1105
543	1316	1103
544	1318	1100
545	1320	1097
546	1321	1094
547	1323	1091
548	1325	1088
549	1327	1085
550	1328	1082
551	1331	1080
552	1333	1077
553	1335	1075
554	1337	1072
555	1339	1069
556	1341	1067
557	1343	1064
558	1347	1062
559	1349	1060
560	1351	1057
561	1354	1055
562	1355	1052
563	1358	1049
564	1360	1047
565	1362	1045
566	1365	1042
567	1367	1039
568	1369	1037
569	1371	1034
570	1373	1031
571	1375	1029
572	1377	1026
573	1379	1023
574	1381	1021
575	1383	1018
576	1385	1015
577	1388	1013
578	1390	1010
579	1393	1009
580	1395	1006
581	1397	1003
582	1399	1001
583	1401	998
584	1403	995
585	1405	993
586	1408	991
587	1411	988
588	1413	986
589	1415	983
590	1417	981
591	1419	978
592	1422	976
593	1424	973
594	1426	971
595	1428	968
596	1431	966
597	1433	963
598	1435	961
599	1438	959
600	1441	956
601	1443	954
602	1445	951
603	1447	948
604	1449	946
605	1451	943
606	1455	942
607	1457	939
608	1459	936
609	1461	934
610	1463	931
611	1465	929
612	1468	927
613	1470	924
614	1472	922
615	1476	920
616	1479	918
617	1486	918
618	1488	916
619	1491	913
620	1493	911
621	1495	908
622	1497	906
623	1500	904
624	1502	901
625	1505	899
626	1506	896
627	1509	893
628	1511	891
629	1513	888
630	1516	886
631	1517	883
632	1520	881
633	1522	878
634	1524	876
635	1526	873
636	1529	871
637	1532	869
638	1534	866
639	1536	864
640	1537	861
641	1540	859
642	1542	856
643	1544	854
644	1546	851
645	1549	848
646	1551	846
647	1553	843
648	1555	841
649	1557	838
650	1560	836
651	1562	834
652	1565	831
653	1567	829
654	1569	826
655	1571	824
656	1573	821
657	1576	819
658	1579	817
659	1581	814
660	1583	811
661	1585	809
662	1587	806
663	1589	804
664	1592	802
665	1594	799
666	1596	796
667	1598	794
668	1600	791
669	1602	789
670	1604	786
671	1607	784
672	1608	781
673	1611	779
674	1613	776
675	1615	774
676	1617	771
677	1620	769
678	1622	767
679	1624	764
680	1626	761
681	1628	759
682	1630	756
683	1632	754
684	1634	751
685	1637	749
686	1639	747
687	1641	744
688	1643	742
689	1646	739
690	1648	737
691	1650	734
692	1653	732
693	1654	729
694	1657	727
695	1659	724
696	1661	722
697	1664	720
698	1670	719
699	1674	717
700	1676	715
701	1678	712
702	1679	709
703	1681	706
704	1683	704
705	1684	701
706	1685	698
707	1687	695
708	1688	692
709	1689	690
710	1690	687
711	1691	684
712	1692	681
713	1693	678
714	1695	675
715	1696	672
716	1698	670
717	1699	667
